Symbol,buys,MT
AMTB,19,800
NUTX,19,700
AVD,18,600
HT,18,800
LVWR,18,800
OSG,18,800
PKE,18,800
SES,18,800
SMRT,18,800
SOPH,18,700
TGH,18,800
UHT,18,600
AES,17,500
AM,17,400
AME,17,500
AMPX,17,800
AZZ,17,600
CONX,17,700
DBRG,17,800
GNE,17,800
GRNT,17,800
HIG,17,500
HRMY,17,700
HTH,17,600
IMAX,17,800
JBT,17,600
KNX,17,400
MCK,17,500
OGE,17,400
PII,17,400
PRM,17,800
RCL,17,500
RMAX,17,800
RYAM,17,800
SAVA,17,700
SBOW,17,800
SNY,17,700
TEX,17,400
WBS,17,400
WM,17,500
ACAH,16,700
ADM,16,500
AHH,16,600
AMPL,16,700
AVAH,16,700
AY,16,700
BBWI,16,500
CB,16,500
CBRE,16,500
CCO,16,800
CHS,16,600
CIFR,16,700
CNK,16,600
CRUS,16,700
CTVA,16,500
DAR,16,400
EAF,16,800
EXEL,16,700
FA,16,700
FFIE,16,700
FFWM,16,800
FLNC,16,700
FLR,16,400
FOR,16,800
GEO,16,600
GRAB,16,700
HRT,16,800
IEX,16,500
IP,16,500
KFS,16,800
LSXMK,16,700
LXU,16,800
MDU,16,400
MGNX,16,700
MGY,16,800
MNKD,16,700
MOS,16,500
NAPA,16,800
NAT,16,800
NRGV,16,800
NSA,16,400
ORGO,16,700
OVV,16,400
OXY,16,500
PAGP,16,700
PAGS,16,800
REAL,16,700
REGN,16,700
SG,16,800
SIGA,16,700
SIX,16,600
SLGN,16,400
SMP,16,600
SON,16,400
STT,16,500
SUM,16,800
SWTX,16,700
TBI,16,600
TEL,16,500
TFC,16,500
THO,16,400
TSEM,16,700
TSN,16,500
UBSI,16,700
URI,16,500
VFS,16,700
WEN,16,700
WIRE,16,700
WOOF,16,700
ABG,15,600
ALLY,15,400
ARGX,15,700
ASND,15,700
AUB,15,600
AVY,15,500
BKH,15,400
BRSP,15,800
CALX,15,400
CDRE,15,800
CHGG,15,800
CPB,15,500
CPK,15,600
ENVA,15,600
EPAC,15,600
EXC,15,700
GLT,15,800
GOGL,15,700
INTA,15,700
KRC,15,400
LHX,15,500
LMND,15,800
LOB,15,800
MA,15,500
MPLN,15,800
OLN,15,400
PCG,15,500
PKST,15,800
PLUG,15,700
PZZA,15,700
SAIA,15,700
SCRM,15,700
SFM,15,700
SLM,15,700
SRCL,15,700
TNK,15,800
TRMB,15,700
VTRS,15,700
WEC,15,500
WY,15,500
Z,15,700
AAN,14,800
ABT,14,500
AGX,14,800
ALGM,14,700
AMCR,14,500
AMKR,14,700
AMPS,14,800
AMT,14,500
ANDE,14,700
AVID,14,700
BHE,14,600
BOC,14,800
BTU,14,800
CLF,14,400
CMRE,14,800
CMS,14,500
CPRT,14,700
CR,14,400
DDD,14,600
EL,14,500
ESAB,14,400
EVLV,14,700
G,14,400
GATE,14,700
GGR,14,700
GIS,14,500
GMAB,14,700
HLT,14,500
INSW,14,800
JLL,14,400
K,14,500
KEY,14,500
KO,14,500
LANC,14,700
LBTYA,14,700
LGF.B,14,800
LW,14,500
MANH,14,700
MCW,14,600
MODN,14,800
MOV,14,600
MSA,14,400
MSM,14,400
NBHC,14,600
ORLY,14,700
PRLB,14,600
RARE,14,700
RSI,14,800
SAFT,14,700
SB,14,800
SFBS,14,600
SGHC,14,800
SGML,14,700
SLAB,14,700
SLB,14,500
SPGI,14,500
SPHR,14,800
TER,14,700
VST,14,400
WCC,14,400
YUM,14,500
ZNTL,14,700
AAP,13,600
ADV,13,700
AFG,13,400
AMG,13,400
APPS,13,700
ASAN,13,800
AZO,13,500
BF.B,13,500
BY,13,800
CNC,13,500
DECK,13,400
DG,13,500
DOCU,13,700
EMR,13,500
FANG,13,700
FCNCA,13,700
HAS,13,700
HI,13,600
HRL,13,500
INDV,13,700
IVT,13,800
LPG,13,600
MAT,13,700
MKSI,13,700
MPWR,13,700
MVLA,13,700
OPEN,13,700
