Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAON,"Aaon Inc",53.6,0.060000000000002,+0.11%,54.366,53.42,93078,"14:11 ET"
AAP,"Advance Auto Parts Inc",48.42,-0.030000000000001,-0.06%,49.8,47.99,916928,"14:12 ET"
AAT,"American Assets Trust",17.77,0.19,+1.08%,17.97,17.62,124608,"14:09 ET"
ABCB,"Ameris Bancorp",35.22,-0.53,-1.48%,36.265,34.99,97763,"14:12 ET"
ABG,"Asbury Automotive Group Inc",189.11,-10.05,-5.05%,194.695,182.65,240403,"14:14 ET"
ABM,"ABM Industries Inc",40.07,-0.039999999999999,-0.10%,40.4,39.74,75778,"14:12 ET"
ABR,"Arbor Realty Trust",13.72,0.09,+0.66%,13.94,13.63,1458151,"14:08 ET"
ACA,"Arcosa Inc",68.38,-0.23,-0.34%,69.61,68.2,41606,"14:02 ET"
ACLS,"Axcelis Tech Inc",148.6,3.95,+2.73%,149.45,146,232004,"14:13 ET"
ADEA,"Adeia Inc",8.56,0.040000000000001,+0.47%,8.65,8.41,174109,"14:02 ET"
ADTN,"Adtran Holdings Inc",6.77,-0.090000000000001,-1.31%,6.89,6.68,352057,"14:12 ET"
ADUS,"Addus Homecare Corp",82.02,2.13,+2.67%,82.28,80.17,140093,"13:58 ET"
AEIS,"Advanced Energy",90.66,1.36,+1.52%,92.67,89.5,146237,"14:10 ET"
AEL,"American Equity Investment Life",53.21,0.039999999999999,+0.08%,53.34,53.16,108132,"14:13 ET"
AEO,"American Eagle Outfitters",17.58,0.46,+2.69%,17.91,17.27,2562067,"14:14 ET"
AGO,"Assured Guaranty Ltd",59.4,0.18,+0.30%,60.015,59.01,88139,"14:12 ET"
AGTI,"Agiliti Inc",5.39,-0.13,-2.36%,5.64,5.2797,182207,"14:14 ET"
AGYS,"Agilysys Inc",80.07,16.17,+25.31%,80.5,72.055,390127,"14:14 ET"
AHCO,"Adapthealth Corp Cl. A",7.63,0.14,+1.87%,7.81,7.49,506365,"14:13 ET"
AHH,"Armada Hoffler Properties Inc",9.99,0.08,+0.81%,10.14,9.92,105055,"14:11 ET"
AIN,"Albany International Corp",80.43,-1.12,-1.37%,82.655,80.62,41610,"14:14 ET"
AIR,"AAR Corp",57.39,-0.07,-0.12%,58.15,57.065,38689,"14:08 ET"
AIT,"Applied Industrial Technologies",153.43,-0.19,-0.12%,155.66,153.065,61182,"14:13 ET"
AKR,"Acadia Realty Trust",13.7,0.1,+0.74%,13.84,13.62,140535,"14:13 ET"
ALEX,"Alexander and Baldwin Inc",15.6,-0.035,-0.22%,15.9,15.56,135845,"14:08 ET"
ALG,"Alamo Group",163.18,0.21000000000001,+0.13%,165.15,163.03,9116,"14:14 ET"
ALGT,"Allegiant Travel Com",70.84,-1.08,-1.50%,72.605,70.245,94167,"14:14 ET"
ALRM,Alarm.com,55.18,0.42,+0.77%,55.58,54.59,104991,"14:12 ET"
AMBC,"Ambac Financial Group",11.55,0.22,+1.94%,11.57,11.32,363198,"14:08 ET"
AMCX,"AMC Networks Cl A",12.06,0.36,+3.08%,12.2793,11.75,115629,"14:13 ET"
AMEH,"Apollo Medical Holdings Inc",31.69,0.76,+2.46%,31.97,31.04,27576,"14:01 ET"
AMN,"Amn Healthcare Services Inc",73.77,0.59999999999999,+0.82%,74.49,73.02,148152,"14:14 ET"
AMPH,"Amphastar Pharma",45.62,0.9,+2.01%,46.08,45.02,122339,"14:14 ET"
AMSF,"Amerisafe Inc",52.18,-0.14,-0.27%,53,52.17,16765,"14:11 ET"
AMWD,"Amer Woodmark Cp",68.11,1.27,+1.90%,69.623,66.405,75870,"14:07 ET"
ANDE,"Andersons Inc",48.68,-0.13,-0.27%,49.12,48.26,64097,"14:05 ET"
ANF,"Abercrombie & Fitch Company",62.06,2.09,+3.49%,62.145,60.32,1034445,"14:09 ET"
ANIP,"ANI Pharma Inc",57.7,0.84,+1.48%,58.32,56.53,29824,"13:53 ET"
AORT,"Artivion Inc",13.19,-0.16,-1.20%,13.5,13.14,113210,"14:11 ET"
AOSL,"Alpha and Omega Semi",25.49,0.069999999999997,+0.28%,25.74,25.36,36186,"14:03 ET"
APAM,"Artisan Partners Asset Mgmt",32.95,0.050000000000004,+0.15%,33.47,32.83,133483,"14:13 ET"
APLE,"Apple Hospitality REIT Inc",15.59,0.1,+0.65%,15.75,15.495,1034474,"14:14 ET"
APOG,"Apogee Entrpr Inc",41.71,-0.29,-0.69%,42.4792,41.61,36827,"14:11 ET"
APPS,"Digital Turbine",5.06,0.2,+4.12%,5.14,4.9,697676,"14:12 ET"
ARCB,"Arcbest Corp",92.48,-1.66,-1.76%,95.39,92.165,107057,"14:12 ET"
ARI,"Apollo Commercial Real Estate",9.44,0.07,+0.75%,9.6,9.39,406378,"14:12 ET"
ARLO,"Arlo Technologies Inc",8.93,0.06,+0.68%,9.025,8.83,298231,"14:09 ET"
AROC,"Archrock Inc",12.84,0.38,+3.05%,12.855,12.5,345456,"14:13 ET"
ARR,"Armour Residential R",14.94,-0.22,-1.45%,15.13,14.75,1454870,"14:10 ET"
ASIX,"Advansix Inc",27.28,-0.009999999999998,-0.04%,27.89,27.23,36722,"13:57 ET"
ASO,"Academy Sports and Outdoors Inc",43.57,-0.2,-0.46%,44.595,43.27,879306,"14:14 ET"
