Symbol,RSI
DUOL,85.3
KTB,83.6
CBU,83.3
SIG,80.4
NABL,79.3
RYN,79.0
ALLK,78.9
EVRI,78.7
GDEN,78.5
INN,77.2
PLMR,77.1
SKIN,76.1
ORGO,75.7
CCLP,75.6
PTCT,74.9
TKO,74.5
GEO,74.5
BRSP,74.2
CSR,73.9
ACLX,73.8
BMRN,73.7
JBI,73.6
PBH,73.6
ELF,73.5
MYGN,73.4
KREF,73.3
MCO,73.2
PCT,73.1
HCP,73.1
LSXMK,73.1
FFWM,73.1
SYK,73.0
EVBG,72.9
ALKS,72.7
COMP,72.7
CPRX,72.7
WMG,72.6
LSXMA,72.3
CXW,72.2
MTTR,72.0
UDMY,71.9
EPR,71.7
JEF,71.6
SGEN,71.6
JOBY,71.5
RAMP,71.5
EXLS,71.3
HST,71.2
BOWL,71.2
HURN,71.1
PLAY,71.1
TTD,70.9
UTHR,70.9
CIO,70.9
BFST,70.8
ALX,70.7
OMI,70.3
KMB,70.3
REZI,70.2
NWN,70.1
PK,70.0
AI,69.8
EXPE,69.7
INDV,69.7
ACCO,69.7
TWO,69.6
TTWO,69.6
COOP,69.5
IOVA,69.5
ELS,69.3
CAG,69.3
AVD,69.3
TER,69.3
JOE,69.1
FRHC,69.1
EG,69.0
APP,68.9
USNA,68.8
AXNX,68.7
SAFT,68.7
INSW,68.6
ICUI,68.5
IMTX,68.4
SLG,68.3
BRT,68.2
PEB,68.1
VFS,68.0
SPGI,68.0
CAH,68.0
NTCT,67.9
HI,67.9
CWST,67.8
ASAN,67.7
FFIC,67.7
ALRM,67.7
BXMT,67.6
DEA,67.5
TEAM,67.5
AHH,67.4
AFRM,67.3
CMND,67.3
FC,67.2
MLI,67.2
POR,67.0
BOC,67.0
DHT,66.8
JAMF,66.8
PTC,66.8
ACT,66.7
NNDM,66.6
WDFC,66.5
SAVA,66.5
BRCC,66.4
FUBO,66.4
CRUS,66.3
TTGT,66.3
BRP,66.2
BRZE,66.1
UMBF,66.0
BMI,66.0
PANW,65.9
ENV,65.8
ENLT,65.8
NRG,65.7
PRTA,65.6
EGLE,65.4
ARIS,65.4
EBF,65.4
GNK,65.3
NNN,65.3
RVNC,65.2
AKAM,65.1
FFIV,65.0
HRT,64.9
INTA,64.9
XRX,64.8
FSLY,64.8
RYTM,64.7
JWN,64.7
JRVR,64.7
AVAH,64.7
WLY,64.6
BJ,64.6
BSIG,64.6
RARE,64.6
JACK,64.6
LTC,64.5
FCN,64.5
DHC,64.5
NFE,64.4
EGY,64.4
CMPR,64.4
IMGN,64.4
UNIT,64.4
THRM,64.3
TWST,64.3
M,64.3
ARCH,64.3
WIRE,64.2
EFSC,64.2
ITGR,64.2
ABR,64.2
ATEN,64.2
AMPL,64.1
RXRX,64.1
MAA,64.1
CPS,64.0
WY,64.0
REPL,64.0
ULTA,64.0
SON,64.0
SKX,64.0
CEVA,63.9
RAPT,63.8
DLX,63.8
SAM,63.8
ATMU,63.8
LBRDA,63.7
INSM,63.7
ESMT,63.7
ADTN,63.6
BALY,63.6
CTAS,63.6
HLNE,63.5
BPMC,63.4
FTEK,63.4
VIRT,63.3
TEL,63.3
RTX,63.3
LRN,63.1
HIPO,63.1
WSO,63.0
GTX,63.0
RPD,62.8
MTZ,62.8
WTW,62.7
CCCS,62.7
AMTB,62.6
MATV,62.6
SHO,62.5
GLBE,62.5
OPEN,62.5
INTR,62.5
WD,62.4
TDG,62.4
PCRX,62.3
KRC,62.3
AMBA,62.3
QNST,62.2
FPI,62.2
CSGP,62.1
AGYS,62.1
KRTX,62.1
AES,62.1
HOUS,62.0
SLGN,62.0
MNTK,61.9
ESE,61.9
AMLX,61.9
HUBB,61.9
IBP,61.8
GKOS,61.8
INCY,61.8
AIV,61.7
WERN,61.7
NICE,61.6
CCO,61.5
DECK,61.5
KALU,61.5
ANDE,61.5
HBNC,61.5
ALGT,61.2
HOLX,61.1
RDWR,61.1
MYE,61.0
SMCI,61.0
CMTG,60.9
CTRE,60.9
CRWD,60.9
DORM,60.8
AMAM,60.8
KSS,60.7
VRTX,60.7
NN,60.7
EVCM,60.7
XNCR,60.7
PRLB,60.7
CIFR,60.6
CAKE,60.5
RIOT,60.5
NTNX,60.4
GDYN,60.4
MHO,60.4
GEF,60.4
KAI,60.3
STAG,60.2
BANC,60.2
IRWD,60.2
ACHR,60.2
LLYVA,60.1
SNV,60.1
TSCO,60.1
CDNS,60.0
RGNX,60.0
ROKU,60.0
CPT,60.0
PCH,60.0
PIPR,60.0
RLI,59.9
BFLY,59.9
CXT,59.9
INST,59.9
EHC,59.9
FICO,59.8
FCPT,59.8
CLX,59.8
CRDO,59.8
WEN,59.8
FHI,59.8
TOWN,59.8
LEG,59.8
MORF,59.8
GM,59.8
HVT,59.7
LBRDK,59.6
ALNY,59.6
GMS,59.6
ELME,59.6
VEON,59.6
ACAD,59.5
ASO,59.5
JKHY,59.5
SAFE,59.5
PYCR,59.4
DIN,59.4
BBW,59.4
BSY,59.4
CSGS,59.4
BHLB,59.4
SFNC,59.3
COTY,59.3
OTTR,59.3
DOOO,59.3
CHKP,59.3
HBI,59.2
KVUE,59.1
BRBR,59.1
RBC,59.1
LITE,59.1
NVST,59.1
WTFC,59.1
Z,59.0
KMPR,59.0
ALTR,59.0
WRB,59.0
UHS,59.0
TIGO,59.0
CD,58.9
EA,58.9
TSN,58.9
TMO,58.9
MVST,58.8
ARR,58.8
TXN,58.8
SND,58.8
NCNO,58.8
STWD,58.8
PRGO,58.8
LEGN,58.8
CSWI,58.7
CIGI,58.7
VRNT,58.7
PHIN,58.6
GBCI,58.6
FSS,58.6
CVLT,58.6
EXAS,58.5
VRTS,58.5
UGI,58.5
IT,58.4
EMBC,58.4
UTL,58.4
SMP,58.4
VRNS,58.3
EVEX,58.3
ERIE,58.3
RMBS,58.2
SOPH,58.2
SXC,58.2
ADC,58.2
AAL,58.1
EPC,58.1
MEDP,58.1
GATE,58.1
XENE,58.1
CATO,58.0
DOCU,58.0
AMZN,58.0
EVTC,58.0
DG,58.0
CBRE,58.0
NEM,58.0
GERN,57.9
CNXC,57.9
GCI,57.8
LZ,57.8
RH,57.8
CAMT,57.8
SJM,57.8
FOR,57.8
AIR,57.7
ROAD,57.7
MKTX,57.7
PINC,57.7
INVH,57.7
BBAI,57.6
MUSA,57.6
AMD,57.6
KFY,57.6
STRA,57.6
KFRC,57.6
TNC,57.5
VVI,57.5
ITRI,57.5
ALE,57.5
OPI,57.5
AGO,57.5
IRT,57.5
BY,57.4
SRPT,57.4
OABI,57.4
LKFN,57.4
CNXN,57.3
ACRE,57.3
AMPS,57.3
TLSA,57.3
JJSF,57.2
COKE,57.1
UE,57.1
FLO,57.1
SWTX,57.1
ANSS,57.1
BLD,57.1
MSTR,57.1
UCBI,57.1
BCBP,57.1
BZ,57.1
FWRD,57.1
UBSI,57.0
SPNT,57.0
CVCO,57.0
AEIS,57.0
COUR,57.0
TMUS,57.0
DDOG,57.0
CFG,57.0
EFC,56.9
RCM,56.9
TWKS,56.9
FDS,56.9
LCID,56.9
NBIX,56.9
OSTK,56.9
LFST,56.9
COF,56.9
SGML,56.8
GRND,56.8
TTEC,56.8
EXPO,56.8
CORT,56.8
SHW,56.8
NMRA,56.8
SVRA,56.7
CRL,56.7
GMAB,56.7
MNKD,56.7
IAC,56.7
UPWK,56.7
IART,56.6
AVDL,56.6
KLAC,56.6
MELI,56.5
OUT,56.5
DKNG,56.5
RUN,56.5
CATY,56.5
THS,56.5
MGIC,56.5
