Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AADI,"Aadi Biosciences Inc",4.36,0.42,+10.66%,4.01,4.36,3.975,26394,"13:55 ET"
AAN,"Aarons Holdings Company",7.23,-1.66,-18.67%,7.28,7.8184,7.0501,1091872,"14:13 ET"
AAON,"Aaon Inc",53.6,0.060000000000002,+0.11%,54.2,54.366,53.42,93071,"14:11 ET"
AAT,"American Assets Trust",17.77,0.19,+1.08%,17.79,17.97,17.62,124508,"14:09 ET"
ABCB,"Ameris Bancorp",35.22,-0.53,-1.48%,36.13,36.265,34.99,97739,"14:12 ET"
ABG,"Asbury Automotive Group Inc",188.81,-10.35,-5.20%,187.24,194.695,182.65,240392,"14:11 ET"
ABM,"ABM Industries Inc",40.07,-0.039999999999999,-0.10%,40.19,40.4,39.74,75648,"14:12 ET"
ABR,"Arbor Realty Trust",13.72,0.09,+0.66%,13.63,13.94,13.63,1455157,"14:08 ET"
ABUS,"Arbutus Biopharma Cp",1.77,0.08,+4.73%,1.7,1.775,1.69,218781,"13:58 ET"
ACA,"Arcosa Inc",68.38,-0.23,-0.34%,69.61,69.61,68.2,41606,"14:02 ET"
ACAD,"Acadia Pharmaceutica",22.99,0.71,+3.19%,22.76,23.05,22.47,413792,"14:13 ET"
ACCD,"Accolade Inc",6.94,0.22,+3.27%,6.76,7.26,6.76,217168,"14:11 ET"
ACCO,"Acco Brands Corp",4.93,-0.03,-0.60%,5,5.04,4.915,196165,"13:59 ET"
ACDC,"Profrac Holding Corp. Cl A",9.11,-0.1,-1.09%,9.22,9.32,9.03,143951,"14:09 ET"
ACEL,"Accel Entertainment Inc",10.3,0.07,+0.68%,10.29,10.46,10.28,76789,"14:06 ET"
ACET,"Adicet Bio Inc",1.32,-0.06,-4.35%,1.39,1.46,1.32,306552,"14:13 ET"
ACHR,"Archer Aviation Inc",4.9,0.08,+1.66%,4.82,5.04,4.82,2007534,"14:12 ET"
ACIC,"American Coastal Insurance Corp",7.37,0.06,+0.82%,7.39,7.43,7.24,95473,"14:02 ET"
ACIW,"Aci Worldwide Inc",20.73,-0.050000000000001,-0.24%,20.89,21.06,20.57,97656,"14:10 ET"
ACLS,"Axcelis Tech Inc",148.6,3.95,+2.73%,147.01,149.45,146,231724,"14:13 ET"
ACLX,"Arcellx Inc",33.47,1.09,+3.37%,32.36,34.12,32.36,122113,"14:10 ET"
ACMR,"Acm Research Inc",18.68,0.59,+3.26%,18.36,19.2797,18.22,1204472,"14:13 ET"
ACNB,"Acnb Corp",32.75,-0.25,-0.76%,32.75,32.75,32.75,6131,"10:24 ET"
