Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AAL,"American Airlines Gp",11.21,-0.08,-0.71%,11.36,11.43,11.09,39302801,2023-10-24
AAOI,"Applied Optoelect",7.44,0.27,+3.77%,7.19,7.63,7.19,1011200,2023-10-24
AAON,"Aaon Inc",53.21,-0.33,-0.62%,54.2,54.37,53.15,299500,2023-10-24
AAPL,"Apple Inc",173.44,0.44,+0.25%,173.05,173.67,171.45,43816602,2023-10-24
ABCB,"Ameris Bancorp",35.45,-0.3,-0.84%,36.13,36.26,34.99,325600,2023-10-24
ABCL,"Abcellera Biologics Inc",4.45,0.18,+4.22%,4.3,4.47,4.26,1099700,2023-10-24
ABCM,"Abcam Plc ADR",22.93,0.02,+0.09%,22.9,23.05,22.87,5309500,2023-10-24
ABNB,"Airbnb Inc Cl A",122.01,1.62,+1.35%,121.18,123.17,120.57,3651600,2023-10-24
ACAD,"Acadia Pharmaceutica",22.98,0.7,+3.14%,22.76,23.05,22.47,1008300,2023-10-24
ACAH,"Atlantic Coastal Acquisition Corp Cl A",10.58,-0.11,-1.03%,10.55,11.37,10.5,3100,2023-10-24
ACCD,"Accolade Inc",6.95,0.23,+3.42%,6.76,7.26,6.76,480400,2023-10-24
ACDC,"Profrac Holding Corp. Cl A",9.02,-0.19,-2.06%,9.22,9.32,9.01,308600,2023-10-24
ACGL,"Arch Capital Grp Ltd",83.42,1.56,+1.91%,82.35,83.76,82.29,1334100,2023-10-24
ACHC,"Acadia Healthcr Company",75.02,-0.07,-0.09%,74.52,76.22,73.91,452000,2023-10-24
ACIW,"Aci Worldwide Inc",20.82,0.09,+0.43%,20.89,21.06,20.57,292000,2023-10-24
ACLS,"Axcelis Tech Inc",149.66,5.01,+3.47%,147.01,150.28,146,480800,2023-10-24
ACLX,"Arcellx Inc",34.21,1.83,+5.65%,32.36,34.27,32.36,369300,2023-10-24
ACRS,"Aclaris Therapts",4.97,-0.01,-0.20%,5.03,5.1,4.87,1340400,2023-10-24
ACT,"Enact Holdings Inc",27.08,0.06,+0.22%,27.02,27.27,26.91,130800,2023-10-24
ACVA,"Acv Auctions Inc Cl A",14.2,0.23,+1.65%,14.23,14.37,14.02,612400,2023-10-24
ADBE,"Adobe Systems Inc",539.56,-0.85,-0.16%,544.64,546,532.12,2358000,2023-10-24
ADEA,"Adeia Inc",8.6,0.08,+0.94%,8.54,8.65,8.41,355200,2023-10-24
ADI,"Analog Devices",164.93,1.06,+0.65%,164.62,165.32,162.85,3206300,2023-10-24
ADP,"Automatic Data Procs",240.45,-0.71,-0.29%,241.01,242.58,237.92,1562000,2023-10-24
ADPT,"Adaptive Biotechnologies Corp",4.69,0.51,+12.20%,4.19,4.75,4.19,1835500,2023-10-24
ADSK,"Autodesk Inc",205.04,5.32,+2.66%,201.82,205.71,201.47,998800,2023-10-24
ADTN,"Adtran Holdings Inc",6.76,-0.1,-1.46%,6.86,6.89,6.68,747800,2023-10-24
ADUS,"Addus Homecare Corp",82.27,2.38,+2.98%,80.17,82.75,80.17,196200,2023-10-24
ADV,"Advantage Solutions Inc",2.4,-0.05,-2.04%,2.47,2.53,2.37,207100,2023-10-24
AEHR,"Aehr Test Systems",32.98,1.59,+5.07%,31.93,33.2,31.42,623000,2023-10-24
AEIS,"Advanced Energy",90.78,1.48,+1.66%,90.26,92.67,89.5,279200,2023-10-24
AEP,"American Electric Power Company",74.74,1.39,+1.90%,73.84,74.95,73.75,3068900,2023-10-24
AFRM,"Affirm Holdings Inc Cl A",19.56,1.06,+5.73%,18.82,19.98,18.82,10978600,2023-10-24
AGIO,"Agios Pharmaceuticals",20.92,-0.04,-0.19%,20.97,21.31,20.83,756900,2023-10-24
AGNC,"Agnc Investment Corp",7.54,-0.57,-7.03%,7.35,7.73,7.34,43471500,2023-10-24
AGYS,"Agilysys Inc",80.1,16.2,+25.35%,72.97,80.97,72.06,557800,2023-10-24
AHCO,"Adapthealth Corp Cl. A",7.56,0.07,+0.93%,7.49,7.81,7.49,1004700,2023-10-24
AIRS,"Airsculpt Technologies Inc",7,0.02,+0.29%,7.04,7.33,7,35400,2023-10-24
AKAM,"Akamai Technologies",104.27,0.79,+0.76%,104.16,104.92,103.33,1426600,2023-10-24
AKRO,"Akero Therapeutics Inc",12.01,-0.07,-0.58%,12.15,12.66,11.9,1736000,2023-10-24
ALGM,"Allegro Microsystems Inc",28.78,0.44,+1.55%,28.34,28.92,28.34,769700,2023-10-24
ALGN,"Align Technology",265.46,-0.26,-0.10%,264.64,267.93,262.75,1128800,2023-10-24
ALGT,"Allegiant Travel Com",71.31,-0.61,-0.85%,72.46,72.61,70.25,262800,2023-10-24
ALKS,"Alkermes Plc",25.32,0.89,+3.64%,25.18,25.66,25,3169100,2023-10-24
ALLK,"Allakos Inc",1.83,0.05,+2.81%,1.82,1.87,1.79,1020000,2023-10-24
ALNY,"Alnylam Pharmaceuticals",163.96,1.96,+1.21%,162.49,166,161.17,371200,2023-10-24
ALRM,Alarm.com,55.5,0.74,+1.35%,55.45,55.58,54.59,268400,2023-10-24
ALRN,"Aileron Therapeutics Inc",1.2679,0.0079,+0.63%,1.2679,1.2679,1.2679,400,2023-10-24
ALTO,"Alto Ingredients Inc",3.88,0.09,+2.37%,3.83,3.94,3.83,597800,2023-10-24
