Symbol,buys,MT
VSL,20,2000
IAG,19,2000
IOZ,18,2000
NWS,18,2000
PLS,18,2000
VAS,18,2000
YAL,18,2000
ALD,17,2000
APE,17,2000
GNC,17,2000
HSN,17,2000
HUB,17,2000
LTR,17,2000
ORI,17,2000
RMS,17,2000
SCG,17,2000
SGF,17,2000
STW,17,2000
UMG,17,2000
VHY,17,2000
A200,16,2000
A2M,16,2000
AGL,16,2000
AIA,16,2000
AMC,16,2000
ARF,16,2000
EVN,16,2000
GPT,16,2000
IEL,16,2000
ILU,16,2000
JDO,16,2000
LLC,16,2000
LOV,16,2000
MFG,16,2000
NST,16,2000
NWH,16,2000
PSI,16,2000
QUB,16,2000
RMD,16,2000
STX,16,2000
SUN,16,2000
XRO,16,2000
AD8,15,2000
ANN,15,2000
ANZ,15,2000
APA,15,2000
AWC,15,2000
BEN,15,2000
BPT,15,2000
GEM,15,2000
HLI,15,2000
IPL,15,2000
IXJ,15,2000
JHX,15,2000
KLS,15,2000
LSF,15,2000
MAQ,15,2000
PMV,15,2000
RDX,15,2000
SHL,15,2000
SUBD,15,2000
SUL,15,2000
AAA,14,2000
CBA,14,2000
CKF,14,2000
DTL,14,2000
EVT,14,2000
GOLD,14,2000
HVN,14,2000
LFG,14,2000
MND,14,2000
MXT,14,2000
SOL,14,2000
VCX,14,2000
ARG,13,2000
BAP,13,2000
BKI,13,2000
IVC,13,2000
LNW,13,2000
MGR,13,2000
PRU,13,2000
QAN,13,2000
SVW,13,2000
BGP,12,2000
FLT,12,2000
GOZ,12,2000
IFT,12,2000
NCM,12,2000
PPT,12,2000
TLC,12,2000
TLS,12,2000
WES,12,2000
WLE,12,2000
WTC,12,2000
ALL,11,2000
FPH,11,2000
JBH,11,2000
VDHG,11,2000
AKE,10,2000
ASX,10,2000
AZJ,10,2000
BKW,10,2000
DYL,10,2000
SYA,10,2000
AZS,9,2000
CTT,9,2000
DMP,9,2000
EMR,9,2000
GMD,9,2000
WGX,9,2000
WOW,9,2000
BFL,8,2000
CQE,8,2000
HCW,8,2000
WEB,8,2000
MPL,7,2000
SGR,7,2000
SKC,7,2000
BGL,6,2000
REH,6,2000
CAR,5,2000
CSR,5,2000
GNE,5,2000
FMG,4,2000
MP1,4,2000
RHC,3,2000
TCL,3,2000
ALQ,2,2000
CEN,2,2000
CHC,2,2000
WOR,2,2000
COL,1,2000
DOW,1,2000
NEC,1,2000
AVZ,0,2000
CSL,0,2000
MQG,0,2000
TWE,0,2000
IHVV,-1,2000
MAD,-1,2000
SGM,-1,2000
WBC,-1,2000
CGF,-2,2000
COH,-2,2000
CRN,-2,2000
DEG,-2,2000
IRE,-2,2000
MEZ,-2,2000
MGOC,-2,2000
OCL,-2,2000
SEK,-2,2000
SGP,-2,2000
TNE,-2,2000
AFI,-3,2000
CTD,-3,2000
FBU,-3,2000
QPON,-3,2000
LYC,-4,2000
NAB,-4,2000
NWL,-4,2000
SDR,-4,2000
VTS,-4,2000
WDS,-4,2000
MCY,-5,2000
ORA,-5,2000
DUI,-6,2000
ELD,-6,2000
ORG,-6,2000
PDN,-6,2000
HDN,-7,2000
MGH,-7,2000
NXT,-7,2000
RWC,-7,2000
SLR,-7,2000
BRG,-8,2000
CWY,-8,2000
RIO,-8,2000
TLX,-8,2000
ZIM,-8,2000
ALX,-9,2000
LFS,-9,2000
MGF,-9,2000
PME,-9,2000
SQ2,-9,2000
TAH,-9,2000
TUA,-9,2000
CMW,-10,2000
IPH,-10,2000
MMS,-10,2000
MTS,-10,2000
NCK,-10,2000
PWH,-10,2000
SNZ,-10,2000
ABG,-11,2000
BGA,-11,2000
BLD,-11,2000
IMD,-11,2000
INA,-11,2000
KAR,-11,2000
NSR,-11,2000
VAP,-11,2000
AMP,-12,2000
BOE,-12,2000
BSL,-12,2000
CIA,-12,2000
CMM,-12,2000
CNI,-12,2000
DXI,-12,2000
DXS,-12,2000
HGH,-12,2000
NIC,-12,2000
WAM,-12,2000
AX1,-13,2000
CIP,-13,2000
CNU,-13,2000
IGO,-13,2000
JLG,-13,2000
MFF,-13,2000
NHF,-13,2000
SPK,-13,2000
VGB,-13,2000
WPR,-13,2000
AUI,-14,2000
CDA,-14,2000
CGC,-14,2000
EDV,-14,2000
GUD,-14,2000
HMC,-14,2000
MVW,-14,2000
NEU,-14,2000
PNI,-14,2000
SDF,-14,2000
SFR,-14,2000
VNT,-14,2000
VUK,-14,2000
ADT,-15,2000
BXB,-15,2000
CPU,-15,2000
GQG,-15,2000
HYGG,-15,2000
IEM,-15,2000
NAN,-15,2000
QBE,-15,2000
TPG,-15,2000
VGS,-15,2000
360,-16,2000
ABB,-16,2000
AIZ,-16,2000
BHP,-16,2000
CCP,-16,2000
CLW,-16,2000
CQR,-16,2000
DBI,-16,2000
DHG,-16,2000
ETHI,-16,2000
GOR,-16,2000
HBRD,-16,2000
HLS,-16,2000
IAF,-16,2000
IFL,-16,2000
ING,-16,2000
MIN,-16,2000
NHC,-16,2000
NUF,-16,2000
PRN,-16,2000
REA,-16,2000
RED,-16,2000
RGN,-16,2000
RRL,-16,2000
S32,-16,2000
SIQ,-16,2000
SMR,-16,2000
STO,-16,2000
VAF,-16,2000
VIF,-16,2000
WHC,-16,2000
ABC,-17,2000
ALU,-17,2000
APM,-17,2000
ARB,-17,2000
ASK,-17,2000
AUB,-17,2000
BOQ,-17,2000
BWP,-17,2000
DDR,-17,2000
DRR,-17,2000
EBO,-17,2000
GMG,-17,2000
JIN,-17,2000
NDQ,-17,2000
PXA,-17,2000
QUAL,-17,2000
VEU,-17,2000
VGAD,-17,2000
IOO,-18,2000
LIC,-18,2000
VEA,-18,2000
IVV,-19,2000
