Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AA,"Alcoa Corp",23.6,0.19,+0.81%,24.21,23.42,3697037,"14:14 ET"
ACHC,"Acadia Healthcr Company",75.07,-0.02000000000001,-0.03%,76.22,73.91,249685,"14:12 ET"
ACIW,"Aci Worldwide Inc",20.73,-0.050000000000001,-0.24%,21.06,20.57,97656,"14:10 ET"
ACM,"Aecom Technology Corp",76.03,-0.67,-0.87%,77.51,75.77,180708,"14:13 ET"
ADC,"Agree Realty Corp",54.34,0.33000000000001,+0.61%,54.6699,54,357063,"14:12 ET"
ADNT,"Adient Plc",34.29,0.21,+0.62%,34.45,34.07,236982,"14:13 ET"
AFG,"American Financial Group",108.18,2.09,+1.97%,108.62,106.46,189793,"14:12 ET"
AGCO,"Agco Corp",111.86,0.2,+0.18%,112.9,110.79,188179,"14:13 ET"
AIRC,"Apartment Income REIT Corp",31.01,0.63,+2.07%,31.03,30.56,411483,"14:14 ET"
ALE,"Allete Inc",53.05,0.65,+1.24%,53.2,52.84,55704,"14:13 ET"
ALGM,"Allegro Microsystems Inc",28.73,0.39,+1.38%,28.8,28.34,283353,"14:13 ET"
ALLY,"Ally Financial",22.89,-0.41,-1.76%,23.68,22.81,2382218,"14:13 ET"
ALV,"Autoliv Inc",95.36,-0.67,-0.70%,97.05,95.4,793731,"14:11 ET"
AM,"Antero Midstream Corp",12.15,-0.28,-2.25%,12.33,12.085,1178208,"14:13 ET"
AMED,"Amedisys Inc",92.36,0.15000000000001,+0.16%,92.52,92.19,91093,"14:13 ET"
AMG,"Affiliated Managers Group",123.37,0.54000000000001,+0.44%,124.74,122.96,68740,"14:12 ET"
AMKR,"Amkor Technology",21.92,0.2,+0.92%,22.1,21.725,331751,"14:12 ET"
AN,"Autonation Inc",129.54,-1.83,-1.39%,132.3502,128.59,418676,"14:11 ET"
AR,"Antero Resources Corp",28.19,0.33,+1.18%,28.42,27.945,2125717,"14:12 ET"
ARMK,"Aramark Holdings Corp",26.37,0.02,+0.08%,26.58,26.17,885390,"14:13 ET"
ARW,"Arrow Electronics",112.29,-0.069999999999993,-0.06%,113.66,111.75,118241,"14:11 ET"
ARWR,"Arrowhead Pharma",25.21,0.52,+2.11%,25.42,24.79,224348,"14:13 ET"
ASB,"Associated Banc-Corp",15.4,-0.19,-1.22%,15.69,15.1995,782783,"14:12 ET"
ASGN,"On Assignment",77.58,-1.06,-1.35%,80.01,76.7,133834,"14:13 ET"
ASH,"Ashland Inc",75.94,0.31999999999999,+0.42%,76.59,75.47,226459,"14:14 ET"
ATR,Aptargroup,122.99,1.49,+1.23%,123.57,121.72,101109,"14:06 ET"
AVNT,"Avient Corp",32.04,0.29,+0.91%,32.21,31.73,181064,"14:14 ET"
AVT,"Avnet Inc",46.32,-0.17,-0.37%,46.86,46.11,124667,"14:12 ET"
AXTA,"Axalta Coating Systems Ltd",25.53,0.050000000000001,+0.20%,25.95,25.4983,964473,"14:13 ET"
AYI,"Acuity Brands Inc",162.1,-2.79,-1.69%,166.145,161.94,81559,"14:11 ET"
AZPN,"Aspen Technology",179.72,1.04,+0.58%,181.74,178.625,59913,"14:11 ET"
AZTA,"Azenta Inc",50.04,1,+2.04%,50.14,47.82,213194,"14:12 ET"
BC,"Brunswick Corp",69.41,-1.59,-2.24%,71.385,69.16,427369,"14:13 ET"
BCO,"Brink's Company",68.66,0.94,+1.39%,68.91,67.67,114884,"14:14 ET"
BDC,"Belden Inc",69.85,-0.010000000000005,-0.01%,70.94,69.46,148082,"14:13 ET"
BERY,"Berry Global Group",55.4,0.86,+1.58%,56.04,55.01,394974,"14:14 ET"
BHF,"Brighthouse Financial Inc",45.37,0.16,+0.35%,45.87,45.01,145930,"14:09 ET"
BJ,"Bj's Wholesale Club Holdings Inc",70.29,1.64,+2.39%,70.37,68.62,559222,"14:12 ET"
BKH,"Black Hills Corp",48.36,0.2,+0.42%,48.92,48.085,256176,"14:11 ET"
BLD,"Topbuild Corp",225.72,-0.68000000000001,-0.30%,229.145,225.13,101340,"14:11 ET"
BLDR,"Builders Firstsource",110.86,-0.049999999999997,-0.05%,112.9,110.35,346588,"14:11 ET"
BLKB,"Blackbaud Inc",67.6,-0.37,-0.54%,68.8,67.25,20709,"14:05 ET"
BRBR,"Bellring Brands Inc Cl A",44.16,0.97,+2.25%,44.4,43.3,387420,"14:14 ET"
BRKR,"Bruker Corp",59.38,-0.26,-0.44%,60.41,58.24,378929,"14:12 ET"
BRX,"Brixmor Property Group Inc",19.93,0.22,+1.12%,20.035,19.755,1081652,"14:14 ET"
BWXT,"Bwx Technologies Inc",75.49,0.48999999999999,+0.65%,76.21,74.97,202789,"14:13 ET"
BYD,"Boyd Gaming Corp",60.87,0.47,+0.78%,61.14,60.34,399653,"14:14 ET"
CABO,"Cable One Inc",603.2,1.2,+0.20%,615.65,601,14816,"14:08 ET"
CACI,"Caci International",322.42,-0.76999999999998,-0.24%,326.77,321.87,30303,"14:13 ET"
CADE,"Cadence Bank",20.69,1,+5.08%,21.66,20.415,2473593,"14:13 ET"
CALX,"Calix Inc",35.35,-7.23,-16.98%,39.56,32.47,3775439,"14:14 ET"
CAR,"Avis Budget Group",172.39,-0.42000000000002,-0.24%,175.94,169.97,155452,"14:14 ET"
CASY,"Casey's General Stor",265.59,0.82999999999998,+0.31%,267.995,264.3958,116395,"14:13 ET"
CBSH,"Commerce Bancshares",44.01,-0.22,-0.50%,44.74,43.63,182837,"14:11 ET"
CBT,"Cabot Corp",66.88,0.23999999999999,+0.36%,67.7,66.7,69717,"14:10 ET"
CC,"Chemours Company",24.16,-0.38,-1.55%,24.83,24.15,427463,"14:13 ET"
CCK,"Crown Cork & Seal Company",81.84,4.82,+6.26%,81.87,77.13,1325132,"14:13 ET"
CDP,"Copt Defense Properties",23.36,0.2,+0.86%,23.6,23.14,349053,"14:14 ET"
CELH,"Celsius Holdings Inc",170.72,6.84,+4.17%,172.82,165.25,536726,"14:13 ET"
