Symbol,buys,MT
CHC,18,2000
360,17,2000
A200,17,2000
DOW,17,2000
NEC,17,2000
ORI,17,2000
PPT,17,2000
UMG,17,2000
VAF,17,2000
VGAD,17,2000
ABC,16,2000
ANN,16,2000
APM,16,2000
ASK,16,2000
AZJ,16,2000
CDA,16,2000
CEN,16,2000
CIP,16,2000
DTL,16,2000
EMR,16,2000
FPH,16,2000
GMD,16,2000
HVN,16,2000
JBH,16,2000
JDO,16,2000
JIN,16,2000
LLC,16,2000
MFG,16,2000
MIN,16,2000
MP1,16,2000
MVW,16,2000
PDN,16,2000
RIO,16,2000
SCG,16,2000
SFR,16,2000
SGF,16,2000
SGM,16,2000
SMR,16,2000
SUL,16,2000
TPG,16,2000
VAS,16,2000
VSL,16,2000
VUK,16,2000
WOR,16,2000
WTC,16,2000
BPT,15,2000
CNU,15,2000
JLG,15,2000
NCK,15,2000
NDQ,15,2000
RHC,15,2000
TWE,15,2000
VCX,15,2000
WGX,15,2000
ABG,14,2000
AKE,14,2000
ALL,14,2000
ALQ,14,2000
CCP,14,2000
CKF,14,2000
EVN,14,2000
GPT,14,2000
IPH,14,2000
KAR,14,2000
LOV,14,2000
MXT,14,2000
NWL,14,2000
PRU,14,2000
QPON,14,2000
RDX,14,2000
SHL,14,2000
TLX,14,2000
TNE,14,2000
VHY,14,2000
WBC,14,2000
AZS,13,2000
BAP,13,2000
BRG,13,2000
CGF,13,2000
COH,13,2000
HLI,13,2000
HUB,13,2000
IOO,13,2000
IVV,13,2000
SVW,13,2000
VIF,13,2000
VTS,13,2000
WES,13,2000
BEN,12,2000
BGP,12,2000
DMP,12,2000
IHVV,12,2000
NCM,12,2000
NSR,12,2000
ORG,12,2000
CPU,11,2000
HDN,11,2000
LTR,11,2000
NHC,11,2000
AIZ,10,2000
CQR,10,2000
CTD,10,2000
IEL,10,2000
NWS,10,2000
PWH,10,2000
ZIM,10,2000
BLD,9,2000
NAN,9,2000
S32,9,2000
XRO,9,2000
ABB,8,2000
ALU,8,2000
BKI,8,2000
CRN,8,2000
HMC,8,2000
IAF,8,2000
IXJ,8,2000
KLS,8,2000
SIQ,8,2000
SUN,8,2000
VEU,8,2000
WHC,8,2000
ANZ,7,2000
DXI,7,2000
EBO,7,2000
ING,7,2000
JHX,7,2000
MQG,7,2000
REH,7,2000
WEB,7,2000
ALD,6,2000
ASX,6,2000
DHG,6,2000
MCY,6,2000
NST,6,2000
PNI,6,2000
SKC,6,2000
CNI,5,2000
FBU,5,2000
IOZ,5,2000
IRE,5,2000
ARF,4,2000
DUI,4,2000
PXA,4,2000
TLC,4,2000
TUA,4,2000
FLT,3,2000
IGO,3,2000
WLE,3,2000
HCW,2,2000
IFL,2,2000
MGF,2,2000
OCL,2,2000
RGN,2,2000
WOW,2,2000
ELD,1,2000
ILU,1,2000
AVZ,0,2000
DXS,0,2000
SYA,0,2000
YAL,0,2000
AGL,-1,2000
ARB,-1,2000
DEG,-1,2000
BOE,-2,2000
MTS,-2,2000
NEU,-2,2000
ARG,-3,2000
BGA,-3,2000
LNW,-3,2000
LYC,-3,2000
PME,-3,2000
TCL,-3,2000
CMM,-4,2000
STO,-4,2000
VGB,-4,2000
AX1,-5,2000
BHP,-5,2000
CIA,-5,2000
GOR,-5,2000
MGR,-5,2000
MND,-5,2000
STW,-5,2000
GNE,-6,2000
LFG,-6,2000
NAB,-6,2000
DRR,-7,2000
FMG,-7,2000
HLS,-7,2000
QAN,-7,2000
APA,-8,2000
EDV,-8,2000
RMS,-8,2000
SNZ,-8,2000
SQ2,-8,2000
WAM,-8,2000
WDS,-8,2000
DBI,-9,2000
HYGG,-9,2000
MFF,-9,2000
MGH,-9,2000
ALX,-10,2000
CTT,-10,2000
MAD,-10,2000
RED,-10,2000
ADT,-11,2000
BGL,-11,2000
BOQ,-11,2000
GMG,-11,2000
GQG,-11,2000
INA,-11,2000
LFS,-11,2000
MGOC,-11,2000
NXT,-11,2000
PMV,-11,2000
SDR,-11,2000
VAP,-11,2000
AMC,-12,2000
APE,-12,2000
BSL,-12,2000
CAR,-12,2000
CQE,-12,2000
HSN,-12,2000
MPL,-12,2000
NWH,-12,2000
QUB,-12,2000
REA,-12,2000
RMD,-12,2000
SLR,-12,2000
VNT,-12,2000
AAA,-13,2000
AWC,-13,2000
BXB,-13,2000
CLW,-13,2000
COL,-13,2000
CSR,-13,2000
HGH,-13,2000
MEZ,-13,2000
NHF,-13,2000
NIC,-13,2000
QBE,-13,2000
RRL,-13,2000
SPK,-13,2000
STX,-13,2000
AD8,-14,2000
AIA,-14,2000
BKW,-14,2000
CGC,-14,2000
CMW,-14,2000
CSL,-14,2000
GEM,-14,2000
IVC,-14,2000
NUF,-14,2000
RWC,-14,2000
SGP,-14,2000
SUBD,-14,2000
VDHG,-14,2000
VGS,-14,2000
WPR,-14,2000
AFI,-15,2000
AMP,-15,2000
GUD,-15,2000
HBRD,-15,2000
IEM,-15,2000
IFT,-15,2000
LSF,-15,2000
ORA,-15,2000
PLS,-15,2000
TAH,-15,2000
AUI,-16,2000
BFL,-16,2000
BWP,-16,2000
CBA,-16,2000
DDR,-16,2000
ETHI,-16,2000
EVT,-16,2000
GNC,-16,2000
GOLD,-16,2000
GOZ,-16,2000
MAQ,-16,2000
PRN,-16,2000
QUAL,-16,2000
SDF,-16,2000
SEK,-16,2000
SGR,-16,2000
SOL,-16,2000
TLS,-16,2000
A2M,-17,2000
AUB,-17,2000
CWY,-17,2000
DYL,-17,2000
IAG,-17,2000
IPL,-17,2000
LIC,-17,2000
PSI,-17,2000
VEA,-17,2000
IMD,-18,2000
MMS,-18,2000
