Symbol,buys,MT
BANC,18,600
CLBK,18,700
CMA,18,500
FFBC,18,700
FLEX,18,700
FSLY,18,800
GIS,18,500
HIG,18,500
JAMF,18,700
JELD,18,800
LRN,18,600
NTST,18,800
PEAK,18,500
PMT,18,600
PRLB,18,600
RELY,18,700
STEP,18,700
SWX,18,400
UNH,18,500
VVV,18,400
WERN,18,700
AAT,17,600
ADSK,17,700
ALGM,17,700
ALLE,17,500
AMED,17,700
AMR,17,800
APPN,17,700
ATSG,17,700
BLX,17,800
BMRN,17,700
BOKF,17,700
BOX,17,800
BSX,17,500
BUSE,17,700
BXMT,17,600
CB,17,500
CBU,17,600
CDNS,17,700
CEIX,17,600
CLW,17,600
CMC,17,400
CRM,17,500
CSIQ,17,700
CVNA,17,800
DFH,17,800
DINO,17,400
DNOW,17,600
DRS,17,700
EBC,17,700
EFSC,17,700
ENSG,17,700
ENVA,17,600
EPC,17,600
ETR,17,500
EVBG,17,700
FN,17,600
FRSH,17,700
GEN,17,700
GKOS,17,600
GVA,17,600
HAE,17,400
HQY,17,700
JBGS,17,600
JKHY,17,700
KTOS,17,700
LGIH,17,700
LNTH,17,700
LSCC,17,700
MAS,17,500
MBC,17,600
MCK,17,500
MLM,17,500
MNDY,17,700
MSTR,17,700
MXL,17,700
NBTB,17,700
NEOG,17,700
NFG,17,400
NJR,17,400
NNN,17,400
NXPI,17,700
ODP,17,700
OEC,17,800
OGE,17,400
PCTY,17,700
POWI,17,700
PRGS,17,700
PRU,17,500
PWSC,17,800
RDN,17,600
REGN,17,700
SCHL,17,700
SCL,17,600
SCU,17,800
SFL,17,800
SGML,17,700
SLVM,17,600
SMHI,17,800
SNPS,17,700
SOVO,17,700
SSB,17,700
SYK,17,500
TDS,17,600
THR,17,800
TOL,17,400
TOWN,17,700
TXT,17,500
UBSI,17,700
VBTX,17,700
VRTV,17,600
VTR,17,500
WDAY,17,700
WSBC,17,700
WSO,17,400
WU,17,400
WY,17,500
ZION,17,700
AA,16,400
AAPL,16,700
ACN,16,500
ADI,16,700
ADNT,16,400
AGO,16,600
AJG,16,500
AKAM,16,700
ALL,16,500
AMAT,16,700
AMKR,16,700
ANET,16,500
APD,16,500
APLE,16,600
APPF,16,700
ARMK,16,400
AROC,16,600
ARRY,16,700
ASAN,16,800
ASB,16,400
ASC,16,800
ASGN,16,400
ASML,16,700
ATKR,16,800
ATRC,16,700
AUB,16,600
AVA,16,600
AVGO,16,700
AVID,16,700
BMY,16,500
BRK.B,16,500
CALM,16,700
CCK,16,400
CCOI,16,700
CDW,16,700
CEG,16,700
CHCO,16,700
CHE,16,400
CHK,16,700
CMCO,16,700
CME,16,700
CNC,16,500
CNO,16,400
COR,16,500
CRWD,16,700
CSL,16,400
CSX,16,700
CTRA,16,500
CTVA,16,500
CUBE,16,400
CVLT,16,700
CXM,16,800
CYBR,16,700
DLR,16,500
DOC,16,400
EBF,16,800
EFC,16,600
ENER,16,700
ENTG,16,700
EQC,16,800
ESNT,16,400
FANG,16,700
FBIN,16,400
FDX,16,500
FFIN,16,700
FICO,16,500
FLNG,16,800
FNB,16,400
FPI,16,800
FRME,16,700
FTAI,16,700
FTNT,16,700
GIII,16,700
GL,16,500
GOOG,16,700
GOOGL,16,700
HAL,16,500
HD,16,500
HLX,16,600
HOMB,16,400
HP,16,600
HSIC,16,700
HWC,16,700
HZO,16,600
IBM,16,500
IBP,16,600
INTU,16,700
IRM,16,500
JBL,16,400
JD,16,700
JXN,16,600
KEYS,16,500
KLAC,16,700
KMI,16,500
KNF,16,400
LEN,16,500
LNC,16,600
LW,16,500
LZB,16,600
MBIN,16,700
MCHP,16,700
MDC,16,600
MDU,16,400
MMI,16,600
MMSI,16,700
MOD,16,800
MODN,16,800
MORF,16,700
MOS,16,500
MP,16,400
MPC,16,500
MTDR,16,400
MTRN,16,600
MTSI,16,700
MU,16,700
