Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
A,"Agilent Technologies",106,-3.34,-3.05%,108.06,105.7224,1728301,"14:13 ET"
AAL,"American Airlines Gp",11.16,-0.13,-1.15%,11.43,11.0935,25031151,"14:14 ET"
AAPL,"Apple Inc",172.37,-0.63,-0.36%,173.31,171.45,26201438,"14:14 ET"
ABBV,"Abbvie Inc",146.5,1.77,+1.22%,146.93,145.1,1559941,"14:14 ET"
ABNB,"Airbnb Inc Cl A",121.39,1,+0.83%,123.17,120.57,2061413,"14:14 ET"
ABT,"Abbott Laboratories",94.57,-1.21,-1.26%,95.825,94.36,3304672,"14:14 ET"
ACGL,"Arch Capital Grp Ltd",82.91,1.05,+1.28%,83.76,82.285,586572,"14:14 ET"
ACN,"Accenture Plc",294.99,0.050000000000011,+0.02%,298,294.0517,679277,"14:14 ET"
ADBE,"Adobe Systems Inc",535.2,-5.2099999999999,-0.96%,546,532.12,1491968,"14:14 ET"
ADI,"Analog Devices",163.93,0.060000000000002,+0.04%,165.32,162.85,1509756,"14:14 ET"
ADM,"Archer Daniels Midland",69.89,-2.51,-3.47%,72.63,69.78,3133139,"14:14 ET"
ADP,"Automatic Data Procs",239.39,-1.77,-0.73%,242.58,237.92,636343,"14:14 ET"
ADSK,"Autodesk Inc",203.4,3.68,+1.84%,205.35,201.47,380831,"14:14 ET"
AEE,"Ameren Corp",76.6,1.52,+2.02%,76.79,75.8,642303,"14:14 ET"
AEP,"American Electric Power Company",74.73,1.38,+1.88%,74.74,73.75,1053700,"14:14 ET"
AES,"The Aes Corp",14.52,0.52,+3.71%,14.57,14.15,4494712,"14:14 ET"
AFL,"Aflac Inc",77.55,0.39,+0.51%,78.23,77.4,779825,"14:14 ET"
AIG,"American International Group",59.7,0.72000000000001,+1.22%,59.975,59.11,1504684,"14:14 ET"
AIZ,"Assurant Inc",147.01,1.59,+1.09%,147.57,145.59,134525,"14:08 ET"
AJG,"Arthur J. Gallagher & Company",230.63,2.93,+1.29%,232.1,229.05,385341,"14:12 ET"
AKAM,"Akamai Technologies",103.85,0.36999999999999,+0.36%,104.92,103.33,509136,"14:11 ET"
ALB,"Albemarle Corp",139.79,3.51,+2.58%,141.8,136.94,1466696,"14:12 ET"
ALGN,"Align Technology",265.28,-0.44000000000005,-0.17%,267.93,262.75,578681,"14:13 ET"
ALK,"Alaska Air Group",31.91,-0.65,-2.00%,32.74,31.63,1637094,"14:14 ET"
ALL,"Allstate Corp",123.48,1.65,+1.35%,124.38,122.47,1184427,"14:14 ET"
ALLE,"Allegion Plc",97.05,0.17999999999999,+0.19%,98.79,96.78,242133,"14:13 ET"
AMAT,"Applied Materials",134.58,0.35000000000002,+0.26%,135.55,133.5139,2934187,"14:14 ET"
AMCR,"Amcor Plc",8.62,0.17,+2.01%,8.655,8.52,3445769,"14:13 ET"
AMD,"Adv Micro Devices",100.23,0.22,+0.22%,101.17,99.38,36063162,"14:14 ET"
AME,"Ametek Inc",140.91,0.049999999999983,+0.04%,142.27,140.32,349950,"14:13 ET"
AMGN,"Amgen Inc",275.69,2.63,+0.96%,276.54,271.13,1040670,"14:14 ET"
AMP,"Ameriprise Financial Services",313.3,1.95,+0.63%,315.62,311.62,204783,"14:13 ET"
AMT,"American Tower Corp",162.27,2.98,+1.87%,163.125,159.91,1405970,"14:13 ET"
AMZN,"Amazon.com Inc",127.33,0.77,+0.61%,128.8,126.34,28173246,"14:14 ET"
ANET,"Arista Networks Inc",188.95,2.43,+1.30%,191.43,187.905,848576,"14:14 ET"
ANSS,"Ansys Inc",275.41,-0.52999999999997,-0.19%,279.575,274.01,137006,"14:14 ET"
AON,"AON Plc",318.78,5.3,+1.69%,320.46,314.38,299877,"14:12 ET"
AOS,"Smith A.O. Corp",67.03,0.64,+0.96%,67.32,66.05,552108,"14:13 ET"
APA,"Apa Corp",41.1,-0.089999999999996,-0.22%,41.55,40.91,1652139,"14:14 ET"
APD,"Air Products and Chemicals",275.2,0.52999999999997,+0.19%,278.36,274.63,280360,"14:14 ET"
APH,"Amphenol Corp",79.18,-0.11000000000001,-0.14%,79.91,78.8,1385828,"14:14 ET"
APTV,"Aptiv Plc",90.56,0.91,+1.02%,91.33,89.65,557065,"14:12 ET"
ARE,"Alexandria Real Estate Equities",96.13,1.76,+1.86%,96.67,93.04,923165,"14:12 ET"
ATO,"Atmos Energy Corp",108.63,0.83999999999999,+0.78%,109.075,108.03,181278,"14:13 ET"
AVB,"Avalonbay Communities",168.83,2,+1.20%,169.1,167.205,300786,"14:14 ET"
AVGO,"Broadcom Ltd",876.98,14.76,+1.71%,878.99,863.12,708460,"14:14 ET"
