Symbol,Code,Company,Link,Market Cap,Last trade,Change,%Change,Sector
BHP,ASX:BHP,BHP Group Limited (ASX:BHP),https://www.listcorp.com/asx/bhp/bhp-group-limited,"	226674000000",44.93,0.21,0.47,Materials
CBA,ASX:CBA,Commonwealth Bank (ASX:CBA),https://www.listcorp.com/asx/cba/commonwealth-bank,"	163113000000",97,-0.35,-0.36,Financials
CSL,ASX:CSL,CSL Limited (ASX:CSL),https://www.listcorp.com/asx/csl/csl-limited,"	114027000000",234.34,-1.7,-0.72,Health Care
NAB,ASX:NAB,National Australia Bank (ASX:NAB),https://www.listcorp.com/asx/nab/nab,"	88611800000",28.2,-0.12,-0.42,Financials
ANZ,ASX:ANZ,ANZ Group Holdings Limited (ASX:ANZ),https://www.listcorp.com/asx/anz/anz-group-holdings-limited,"	74681400000",24.79,-0.06,-0.24,Financials
WBC,ASX:WBC,Westpac Banking Corp (ASX:WBC),https://www.listcorp.com/asx/wbc/westpac,"	72988800000",20.57,-0.23,-1.11,Financials
FMG,ASX:FMG,Fortescue Metals Group (ASX:FMG),https://www.listcorp.com/asx/fmg/fortescue-metals,"	67798800000",22.21,0.19,0.86,Materials
WDS,ASX:WDS,Woodside Energy Group Ltd (ASX:WDS),https://www.listcorp.com/asx/wds/woodside-energy-group,"	66247400000",34.9,0.01,0.03,Energy
MQG,ASX:MQG,Macquarie Group Limited (ASX:MQG),https://www.listcorp.com/asx/mqg/macquarie-group-limited,"	63173500000",161.4,-2.06,-1.26,Financials
WES,ASX:WES,Wesfarmers Limited (ASX:WES),https://www.listcorp.com/asx/wes/wesfarmers-limited,"	57629500000",50.37,-0.45,-0.89,Consumer Discretionary
TLS,ASX:TLS,Telstra Group Limited (ASX:TLS),https://www.listcorp.com/asx/tls/telstra-group-limited,"	44715600000",3.81,-0.06,-1.55,Communication Services
WOW,ASX:WOW,Woolworths Group Limited (ASX:WOW),https://www.listcorp.com/asx/wow/woolworths-group,"	43525000000",35.18,-0.45,-1.26,Consumer Staples
RIO,ASX:RIO,Rio Tinto (ASX:RIO),https://www.listcorp.com/asx/rio/rio-tinto,"	43161300000",117.67,1.4,1.2,Materials
GMG,ASX:GMG,Goodman Group (ASX:GMG),https://www.listcorp.com/asx/gmg/goodman-group,"	39370000000",20.15,-0.58,-2.8,Real Estate
TCL,ASX:TCL,Transurban Group (ASX:TCL),https://www.listcorp.com/asx/tcl/transurban-group,"	36930000000",11.81,-0.15,-1.25,Industrials
ALL,ASX:ALL,Aristocrat Leisure Limited (ASX:ALL),https://www.listcorp.com/asx/all/aristocrat-leisure-limited,"	26182400000",39.13,-1.24,-3.07,Consumer Discretionary
